	BASO	CMP	EOS	ERY	GMP	GRAN	HSC	MEGA	MEP	MONO	PREB
208979_at	248.77435	146.391062	294.172014	202.636652	359.492581	642.754926	399.460259	237.699884	363.424598	527.176647	175.368881
208980_s_at	811.948449	712.143867	913.926974	1127.65338	834.583107	1391.6106	1027.410499	940.028771	637.707783	1871.219558	727.110745
208981_at	368.678858	231.056659	591.492706	344.231955	562.554751	1009.184018	722.438742	766.459686	372.6436	1217.961514	367.024347
208982_at	720.590924	380.658375	1069.801044	854.847721	1155.498117	1827.912722	2216.491334	1799.735859	998.749529	2890.055373	608.042114
208983_s_at	89.043369	79.153736	120.656761	103.494018	169.179908	443.622185	185.698068	169.311887	83.555868	532.13263	103.793494
208984_x_at	33.981617	29.116073	26.634499	32.86826	25.522616	42.425591	48.531566	36.38872	35.153351	37.867824	38.832588
208985_s_at	251.191313	164.053735	151.033482	1031.085125	157.688456	222.856089	332.398095	311.835904	277.067475	287.770654	260.337181
208986_at	205.978455	118.324976	214.209198	266.058116	265.703667	438.864695	643.347559	301.521905	488.426375	304.522096	236.087015
208987_s_at	31.285979	21.711898	26.713627	26.759769	28.355748	34.228452	33.243443	29.391548	27.665236	32.608686	26.005621
208988_at	908.118565	1030.594236	914.446804	998.802184	1092.75755	1567.303124	1370.076029	1093.359885	1124.706755	1502.228785	752.689252
208989_s_at	428.631855	262.5804	426.492046	446.881336	457.551116	834.769527	658.902462	422.192191	379.736554	779.02425	319.862888
208990_s_at	669.010124	1054.959028	783.957777	868.122096	1077.644004	1311.545386	1789.107831	1128.842002	1776.06449	1308.147352	794.187639
208991_at	598.029288	527.791724	850.109465	1177.315392	869.222136	1224.468973	1552.341188	1547.907767	1114.065632	1558.603545	389.358783
208992_s_at	71.435466	76.830265	69.300941	95.331571	96.285077	157.297346	156.772308	117.548398	116.192437	148.027397	55.459146
208993_s_at	1369.70332	1774.304463	1491.070615	1316.289049	1729.909918	2218.155501	1988.853178	1667.086976	2402.987759	2167.958631	1282.97538
208994_s_at	356.001466	337.444939	390.979949	208.552364	409.809459	570.940135	470.964471	347.190352	506.358522	497.305914	321.761633
208995_s_at	338.555471	330.06949	366.567739	193.044392	271.197395	380.505742	408.137194	350.799466	270.601057	319.24896	391.249919
208996_s_at	26.871512	21.053997	24.216736	30.391165	28.293442	45.21713	42.430424	29.383367	40.028703	40.02874	24.72156
