	BASO	CMP	EOS	ERY	GMP	GRAN	HSC	MEGA	MEP	MONO	PREB
211774_s_at	36.751061	39.005579	36.126291	44.871801	39.583388	36.660378	49.162934	36.539955	50.674624	40.897239	35.403328
211775_x_at	54.059664	55.178911	64.034285	57.699992	63.4412	54.991662	54.402428	56.516592	53.182778	56.668138	51.65459
211776_s_at	70.12873	54.40591	48.816271	43.521512	66.962878	80.238194	44.355559	71.1887	51.99352	138.155712	78.307276
211778_s_at	31.198735	25.294739	23.311627	24.635648	23.793962	22.401121	23.570103	28.006979	22.569887	23.511109	32.635091
211779_x_at	59.259623	29.903944	54.028271	61.126309	63.889449	87.729808	78.130066	66.480789	51.028447	84.53055	56.24959
211780_x_at	41.511818	39.951537	40.832188	48.013453	55.293343	51.203733	49.877615	40.748871	48.511574	52.611183	39.954076
211781_x_at	52.571155	36.716369	51.416519	118.049448	57.570565	58.92857	60.613911	58.101921	52.031862	66.169868	47.471915
211782_at	60.863644	95.067527	74.491291	59.382058	46.410174	48.945063	54.525013	57.793949	66.573696	57.420919	64.182328
211783_s_at	142.138379	131.557416	124.226249	145.430862	285.011575	205.252656	312.219856	169.923152	296.740898	169.25395	144.467971
211784_s_at	3868.014439	6122.127475	3460.747716	3209.737961	5119.287613	4777.305675	4603.495975	3606.052654	5619.212511	4673.505559	3979.54146
211786_at	39.241777	40.857389	46.711261	42.087896	43.868732	46.895538	41.677926	38.250011	45.150634	49.839065	34.302772
211787_s_at	262.802192	727.051821	391.173876	331.697937	850.707507	617.924934	640.145598	338.677239	802.916083	801.806048	192.749401
211788_s_at	21.726676	23.140403	26.355271	25.497007	27.30752	28.670001	29.046057	21.424713	25.89589	25.945862	20.860014
211789_s_at	35.090048	43.880975	42.712379	36.690222	39.089092	36.047794	36.443117	37.009128	37.010715	39.659686	34.017205
211790_s_at	70.041894	104.532443	108.047583	90.71087	75.856235	56.525611	76.995864	72.998027	104.810544	72.844006	77.992925
211791_s_at	26.278925	37.468611	26.436672	27.725709	25.067396	27.602384	28.518991	28.356475	27.217842	27.831831	32.53799
211792_s_at	44.626516	69.020406	46.614316	62.664971	53.992658	63.465902	56.426146	48.353219	58.434167	53.319428	48.282257
211793_s_at	31.637905	32.458265	28.948397	32.429977	32.397316	32.487403	37.234632	31.708453	42.838219	33.28734	30.542
211794_at	213.577174	149.801991	221.201816	114.700596	344.930311	1137.834279	69.884918	327.341014	123.863581	545.615825	145.37191
211795_s_at	199.90608	153.78922	323.758162	163.944972	320.240676	1421.873799	74.250823	559.715191	80.082731	666.310139	191.356726
211796_s_at	291.015088	1364.391513	453.176351	267.603895	593.014904	4326.856973	1073.027146	548.136894	522.183525	108.853976	296.902163
211797_s_at	49.430063	50.564017	40.625631	47.88557	43.819848	57.800942	49.695945	49.767639	51.995156	64.567929	50.070697
211798_x_at	68.534961	32.310784	48.055257	35.542156	27.066819	142.51174	31.99713	38.053543	30.359827	30.460896	48.518088
211799_x_at	114.433101	59.355175	120.90228	80.268486	163.903008	456.489799	135.764061	110.931234	66.754139	299.642154	77.739019
211800_s_at	147.379247	86.714084	185.509931	156.501361	220.14753	373.283936	200.640412	160.49628	168.948143	322.609728	116.786862
211801_x_at	37.503981	25.980507	34.583805	26.419373	32.606913	40.728248	38.857668	31.951606	36.687593	31.118942	34.85912
211802_x_at	33.775009	25.568349	22.049918	20.799681	18.748301	17.820602	19.477636	38.05852	22.292542	22.994669	37.431708
211803_at	38.084898	43.47121	29.198649	30.176744	30.371262	28.253402	29.429334	34.147029	31.973212	29.151858	43.730468
211804_s_at	44.952824	41.407165	40.977668	42.986469	40.366381	39.653104	42.752352	41.001396	45.385423	39.004502	34.996611
211805_s_at	25.822529	21.223418	24.383423	23.203817	28.507774	27.918591	25.13867	23.817477	24.405989	31.085919	23.831748
211806_s_at	51.904881	48.276477	41.623843	39.626484	34.026294	50.991933	35.206287	62.572262	38.268729	52.31563	54.237695
211807_x_at	36.835418	32.175452	43.489307	40.566769	41.780293	51.491992	45.681402	39.24693	41.005972	44.550593	30.634862
211808_s_at	37.229864	70.740521	42.62677	55.715667	49.00248	47.197824	49.268727	40.813114	55.561298	46.042212	41.850347
211809_x_at	35.766323	38.30969	33.411213	29.123322	28.899346	25.106627	28.676919	39.870654	36.814148	28.258876	51.299444
211810_s_at	50.264951	47.60457	50.208146	33.301392	49.906027	57.335919	34.827978	54.140334	43.624673	58.428208	50.353646
211811_s_at	21.684653	20.174873	19.409506	18.802487	20.38421	19.889642	20.079542	20.566869	20.201725	19.054845	20.799884
211812_s_at	64.923983	53.251224	63.059385	73.532503	54.34809	60.775763	65.464867	54.797656	67.824007	57.405239	51.369911
211813_x_at	47.737802	64.897931	56.581652	50.784415	50.649718	51.864215	52.470057	45.606394	54.769647	46.939192	39.790456
211814_s_at	48.583668	39.534172	60.82283	57.461206	61.198949	70.749397	67.815009	49.97449	63.218874	60.50992	40.494845
211815_s_at	23.839836	23.23209	20.39418	22.799087	21.937233	23.588928	23.220543	24.786486	22.184356	22.786709	25.19752
211816_x_at	37.729571	46.26017	61.651795	41.938181	135.318963	143.843502	26.879554	48.402451	32.576824	156.946774	108.077404
211817_s_at	40.365068	50.98795	41.416099	37.110969	33.13922	29.392322	31.701935	37.022781	48.632367	35.915272	63.646802
211818_s_at	24.930373	46.324022	24.113974	28.991169	24.435103	24.899846	27.215308	27.384895	35.392632	29.895198	37.428241
211819_s_at	43.586882	56.53703	49.150778	50.747192	47.35751	47.229713	50.322476	43.747825	43.817545	45.046276	43.243088
