	Lin-_1	Lin-_2	MNC_1	MNC_2
209283_at	35.2102883123	28.1269429039	20.9133052272	23.7118250043
209284_s_at	350.2704601855	370.5945085029	337.6972132149	377.6209503126
209285_s_at	2581.9462553413	2378.2712257934	3030.2056833636	2619.0390389561
209286_at	657.1065188032	653.6955525435	2757.9390642454	2370.9363672624
209287_s_at	144.8893118582	166.5630586434	490.8656462686	551.614183059
209288_s_at	502.1241091628	525.8974227182	2465.3737446625	1911.4546830132
209289_at	75.9840707585	92.7360409659	33.0319594491	37.5151823404
209290_s_at	146.5335141512	173.5899128938	51.9757508801	76.1106818967
209291_at	21.656459002	25.6945333605	16.1099238948	18.8095861318
209292_at	12.2536715581	12.3164110206	8.5842267169	13.3462956927
209293_x_at	50.0288066313	54.0352595442	51.7480473641	57.6968131099
209294_x_at	46.4032268832	64.5639437005	113.3507286513	98.2130654752
209295_at	1815.7704503741	1697.3786200848	4654.695167749	3972.9632509068
209296_at	925.1436560013	1046.1914476563	3037.774200301	2545.3319973817
209297_at	245.5235807487	234.5316787663	527.7468470281	488.6666723927
209298_s_at	93.0303998077	82.8329764229	179.4957577246	175.9104373856
209299_x_at	424.1425863265	418.8223555486	412.4526168349	403.814276753
209300_s_at	248.8472549034	244.6868288587	378.7078033452	407.7245223561
209301_at	900.4143285075	993.9964848728	634.7232762137	660.4754357405
209302_at	1955.6133080144	1846.459227194	906.2354872635	910.5536239119
209303_at	3318.1679155799	3215.1009334904	1324.8314206905	1133.1112396378
209304_x_at	184.2300895351	187.2126697925	926.3732168162	941.2776525772
209305_s_at	173.5401848626	179.1514009648	724.7886902441	730.5751036313
209306_s_at	409.6212257206	362.7983565413	395.4579246582	401.729297721
209307_at	303.3643628956	316.2611707446	276.4415362277	324.4093221499
209308_s_at	1322.022144642	1353.1660819436	2207.5016863761	1754.3869850897
209309_at	25.6767231513	25.2837317722	11.2056101306	15.5589407271
209310_s_at	2810.2841220341	2761.3541228024	6689.8079072467	5706.5895774293
209311_at	448.3062066422	450.075108925	211.4447992224	214.3028579689
209312_x_at	10591.6894534283	10325.9378203885	13897.6021534462	12725.7289107733
209313_at	1475.8640756471	1595.2779058519	883.34279414	794.967220024
209314_s_at	324.2343978725	351.1577726272	178.4452876339	177.6187416583
209315_at	625.9019913993	618.0885835432	387.4064120037	399.4018034888
209316_s_at	815.408783456	775.2304562142	369.1475232826	370.0379427882
209317_at	930.3125079855	889.2122237565	442.6112535349	449.0339653002
209318_x_at	1101.1509243084	1043.7633042072	430.5640807233	435.7658378995
209320_at	466.6771952888	470.3241180635	224.5251668688	245.244526268
209321_s_at	633.6332695893	714.1226213235	329.4575394838	322.3173701461
209322_s_at	171.9019671171	181.5177813966	183.1836184738	162.8226299398
209323_at	1558.5976834478	1473.3142392062	1314.4361555489	1274.3039538553
209324_s_at	87.8395912466	78.7850229988	95.9625198435	115.0063988927
209325_s_at	44.4782222039	53.8797518337	58.5075366514	72.045122014
209326_at	616.1430616352	594.3178998112	584.3482029567	568.0438142959
209327_s_at	2285.3009958569	2104.8454841974	1544.2079274501	1426.2970082307
209328_x_at	183.3762593565	182.9531159896	157.89387186	167.5652259845
209329_x_at	1447.6732850157	1327.7174982613	1071.4239827755	1009.0927242525
209330_s_at	1267.1005789997	1187.3317042106	747.4320360501	745.1534434777
209331_s_at	3135.5286136774	2975.0856127688	3823.8004366508	3331.1739393618
209332_s_at	3970.9728120723	3653.3363749832	4963.8540626461	4247.2118100882
209333_at	388.4431427521	356.042554375	793.4435207275	758.9979222287
209334_s_at	298.2401480201	297.5042676868	252.8751997969	256.4961521915
209335_at	15.103928882	12.0579668125	10.2587630397	17.8617610588
209336_at	511.0989822768	506.2971558445	338.9663120334	346.6016163186
209337_at	3039.8136537887	2792.4930291994	1990.447722032	1596.4358911933
209338_at	291.642390021	288.2473261019	270.2360662134	273.3500767181
209339_at	610.0191483441	589.9734107151	853.4739159082	876.6043671706
209340_at	996.5866143364	945.7588709213	486.6347168558	454.8899900885
209341_s_at	1717.2133045019	1645.8307357095	1608.3872914036	1440.5269357514
209342_s_at	230.1618041971	250.4523258482	260.7447014083	282.1458310197
209343_at	19.6085771997	26.1913959932	23.581900889	31.1800896067
209344_at	2055.0785508411	1937.0226693025	1490.984143461	1355.5231731584
209345_s_at	219.1264280679	219.6548694204	284.6503421991	328.9718174694
209346_s_at	77.5235954431	66.4384500539	76.9033096243	89.4980983873
209347_s_at	53.5235184666	47.3826158585	52.413882252	46.8085456088
209348_s_at	573.6857563406	623.2959218854	660.7268724944	611.0311456015
209349_at	409.2610551261	441.9691195013	218.5490873185	234.3050046081
209350_s_at	513.6711502418	492.4658278029	669.9876050706	676.1359193628
209351_at	28.7046797058	28.6878660726	34.4514621103	26.6749140529
209352_s_at	193.3607420801	184.0848242165	194.2085247263	216.4608003265
209353_s_at	16.9144489592	19.3836089796	16.4356822769	18.9917505923
209354_at	469.3972576161	447.1681643699	807.9183129263	749.4456685179
209355_s_at	20.2513855008	15.9995939409	18.656076218	20.3797456695
209356_x_at	162.8159678559	109.4565853832	166.234524838	212.18223017
209357_at	534.9131415702	534.6735171809	591.8305091634	549.2750982758
209358_at	2542.9686117411	2432.9336561841	2288.8709762759	1962.153817984
209359_x_at	152.6143393205	169.4432127072	105.6002667063	124.9889018522
209360_s_at	4759.100302982	4208.3809800994	2335.8546110487	2135.2546670015
209361_s_at	97.2415808652	85.0015794852	73.3801558442	79.5598774554
209362_at	360.8945994375	358.3017792137	223.9306754263	227.0869137794
209363_s_at	157.1116562415	196.2305545381	116.5306248841	129.3061499368
209364_at	138.6114610876	143.8707913695	100.7346396378	124.8764653053
209365_s_at	110.6976347701	110.236240799	76.7255251254	76.9151300779
209366_x_at	345.953745339	325.9854961293	260.088256216	297.7780061206
209367_at	950.2807812336	918.4118278277	2102.5179899344	1846.1322279584
209368_at	117.3055578254	121.9138381622	262.2823302604	284.095068767
209369_at	314.604280692	288.0831515813	5377.3158465782	4633.2034203989
209370_s_at	174.2866973754	177.4233200862	501.8828285482	519.8938204039
209371_s_at	31.9039403873	33.4257381769	61.4418315104	72.4434955454
209372_x_at	136.0293948829	157.5763469003	107.2529689854	134.7914213996
209373_at	145.8151696211	166.2959814213	60.5858745615	61.8838316333
209374_s_at	1036.5915443431	1057.5186099801	3148.0067600103	2786.8155808688
209375_at	242.3091062162	251.9453622199	383.4520561094	441.4690117375
209376_x_at	1848.1314358893	1737.8531262091	1978.9914759419	1835.8551342813
209377_s_at	4466.8553995283	3962.28906176	2851.4214632419	2315.9396057071
209378_s_at	127.0931708947	105.6739479436	175.4730531376	182.7617907934
209379_s_at	262.6955539166	288.8470054902	904.2603775548	842.1469846502
209380_s_at	426.3656377758	395.4870509766	454.7032871063	475.2116371461
209381_x_at	169.6106079826	152.4435783313	117.6018059745	111.6386586608
209382_at	686.7706935726	639.7007201644	412.7597097233	431.1614356549
209383_at	383.8940937538	389.8922583887	598.9446945542	614.3651072469
209384_at	1127.5469793484	1023.5204167699	979.9514107089	888.1347049327
209385_s_at	170.0238072936	169.6429809645	117.3254213731	151.7973814677
209386_at	301.320671241	278.688138936	85.2284496913	77.3137162019
209387_s_at	43.5397598103	53.4939138458	30.6764009855	33.4987395568
209388_at	888.7430534063	870.1738414413	1007.982130434	946.413020494
209389_x_at	3045.1491828835	2915.6991373222	3695.2706966147	3273.2531072084
209390_at	633.7418458776	611.3429930655	654.4225173738	581.7739663006
209391_at	225.881119425	231.3792443511	207.1201850334	226.5795244906
209392_at	566.7337214567	513.8047402559	204.0199334636	213.6950004873
